Algorithm: bjps, Bound: 5, Weight: 0.1, Cost: 64.04, Time: 0.74, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 1.0, Cost: 64.04, Time: 0.43, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 2.0, Cost: 64.04, Time: 0.18, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 3.0, Cost: 64.04, Time: 0.18, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 4.0, Cost: 66.38, Time: 0.18, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 5.0, Cost: 68.38, Time: 0.2, Success Rate: 1.0
Algorithm: bjps, Bound: 5, Weight: 10.0, Cost: 84.87, Time: 0.18, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 0.1, Cost: 83.56, Time: 0.66, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 1.0, Cost: 83.56, Time: 0.61, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 2.0, Cost: 83.56, Time: 0.46, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 3.0, Cost: 83.56, Time: 0.33, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 4.0, Cost: 83.8, Time: 0.24, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 5.0, Cost: 83.8, Time: 0.24, Success Rate: 1.0
Algorithm: bjps, Bound: 10, Weight: 10.0, Cost: 100.87, Time: 0.17, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 0.1, Cost: 83.56, Time: 0.71, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 1.0, Cost: 83.56, Time: 0.63, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 2.0, Cost: 84.53, Time: 0.24, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 3.0, Cost: 97.6, Time: 0.23, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 4.0, Cost: 100.43, Time: 0.23, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 5.0, Cost: 100.43, Time: 0.22, Success Rate: 1.0
Algorithm: bjps, Bound: 15, Weight: 10.0, Cost: 100.43, Time: 0.21, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 0.1, Cost: 83.56, Time: 0.42, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 1.0, Cost: 83.56, Time: 0.3, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 2.0, Cost: 83.56, Time: 0.18, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 3.0, Cost: 83.56, Time: 0.14, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 4.0, Cost: 83.56, Time: 0.14, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 5.0, Cost: 83.56, Time: 0.1, Success Rate: 1.0
Algorithm: bjps, Bound: 20, Weight: 10.0, Cost: 83.56, Time: 0.07, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 0.1, Cost: 87.46, Time: 0.04, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 1.0, Cost: 87.46, Time: 0.04, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 2.0, Cost: 87.46, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 3.0, Cost: 87.46, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 4.0, Cost: 87.46, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 5.0, Cost: 87.46, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 25, Weight: 10.0, Cost: 87.46, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 30, Weight: 0.1, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 30, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 30, Weight: 2.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
